Model,Test Loss,Test Accuracy,Precision,Recall,F1-Score
Initial,0.518176794052124,0.9666666388511658,0.5,0.5,0.49944382647385993
Dropout 0.3,0.495770663022995,0.9833333492279053,0.4833147942157954,0.48333333333333334,0.4831897749374826
Learning Rate 1e-5,0.6891136169433594,0.5333333611488342,0.24576271186440682,0.48333333333333334,0.3258426966292135
